Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,types,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water
Bulbasaur,0.1732283464566929,0.23783783783783785,0.19555555555555554,0.29891304347826086,0.2142857142857143,0.22857142857142854,1,False,"Grass,Poison",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Ivysaur,0.23228346456692914,0.3081081081081081,0.25777777777777783,0.3804347826086956,0.28571428571428575,0.3142857142857143,1,False,"Grass,Poison",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Venusaur,0.3110236220472441,0.41621621621621624,0.3466666666666667,0.48913043478260865,0.380952380952381,0.42857142857142855,1,False,"Grass,Poison",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mega Venusaur,0.3110236220472441,0.5135135135135136,0.5244444444444444,0.608695652173913,0.4761904761904763,0.42857142857142855,1,False,"Grass,Poison",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Charmander,0.14960629921259844,0.25405405405405407,0.1688888888888889,0.2717391304347826,0.14285714285714285,0.34285714285714286,1,False,Fire,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Charmeleon,0.22440944881889763,0.31891891891891894,0.23555555555555555,0.3804347826086956,0.2142857142857143,0.42857142857142855,1,False,Fire,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Charizard,0.3031496062992126,0.42702702702702705,0.3244444444444445,0.5380434782608695,0.3095238095238096,0.5428571428571428,1,False,"Fire,Flying",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mega Charizard X,0.3031496062992126,0.6756756756756757,0.47111111111111115,0.6521739130434783,0.3095238095238096,0.5428571428571428,1,False,"Fire,Dragon",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mega Charizard Y,0.3031496062992126,0.5351351351351352,0.3244444444444445,0.8097826086956521,0.45238095238095244,0.5428571428571428,1,False,"Fire,Flying",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Squirtle,0.16929133858267717,0.23243243243243245,0.26666666666666666,0.21739130434782608,0.20952380952380956,0.21714285714285714,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wartortle,0.2283464566929134,0.31351351351351353,0.33333333333333337,0.29891304347826086,0.28571428571428575,0.3028571428571428,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
